Dominant1,Dominant2,Dominant3
#FAFAFA,#CD2A1B,#331A1D
#080806,#FFFFFF,#6A6A6A
#2A60FF,#FFFFFF,#FED967
#131217,#8E8F91,#8D6438
#FFFFFF,#000000,#C67D6A
#B8ABFB,#FAFAFA,#000000
#2D2B2C,#E7E7E7,#828282
#0F1632,#42528D,#FEFEFE
#1A202C,#9696A0,#FFFFFD
#F9F7E8,#FB5B4D,#61BFAD
#111214,#F68C1F,#4A5865
#100604,#918382,#5D3D28
#FFFFFF,#1B1D18,#9A9C97
#8B8B8B,#0E0E0E,#FFFFFF
#F8EEED,#101010,#999393
#8ABDFE,#01032A,#001774
#080808,#DA0F2C,#5C5D61
#EAEEF1,#304FFF,#595A5C
#D04C5A,#36608A,#FFFFFF
#E3E3E3,#010101,#828282
#FFFFFF,#000000,#288BCE
#1D1D27,#FFB400,#6B253F
#15212D,#C3C0B9,#866A52
#17072B,#A9A7B5,#564E63
#131BC6,#FFFFFF,#010101
#C4A519,#0C0200,#543110
#3B3B3B,#FCFCFC,#A1A1A1
#012025,#707068,#FFFFFF
#131025,#4C0910,#B5B5B5
#FFFFFF,#07132B,#50A106
#1A2129,#E1E2E4,#ED9669
#F5F6F8,#51519B,#161616
#BEB9BD,#5E4A49,#040000
#30303A,#6E85AF,#F3B3B3
#F4F7FF,#1E48C1,#BE63C3
#0B0B0B,#CDCDCD,#5A5A5A
#EEEDEB,#153F3D,#AC9F7F
#131217,#2A1558,#265171
#EEF2FB,#23A4AA,#03060B
#E23C3C,#0F0F0F,#FFFFFF
#EDE4DB,#17181A,#8E8E8E
#F1F1F1,#333333,#EB5757
#FEFEFE,#00EDC1,#FF6F78
#262626,#A1A1A1,#8C5A27
#F3F6FF,#020202,#FEBD00
#1E1A3F,#EC174F,#77758B
#1B1C1E,#FFFFFF,#9D9D9D
#FAFAFA,#FCABD4,#9C7E8A
#E6E9F8,#141833,#808393
#EAEAEA,#000000,#4C4C4C
#FFFFFF,#0F1C3F,#247DFF
#3D559F,#9C2A2A,#6BCEF5
#B8B9CE,#5A5B70,#0E2610
#010101,#505050,#F9BBAE
#31313D,#FCF050,#BECBD3
#FFFFFF,#000000,#919690
#F8F7FD,#0B0F12,#9D9D9D
#F4F4F4,#0E1B23,#9B9B9B
#E9EAEE,#0A090F,#7B7C80
#ECEDF1,#0A090E,#3D0103
#414781,#ABACCA,#F7647E
#1B2839,#932B60,#FEFEFE
#DADDE6,#2C87FC,#374961
#000000,#FFFFFF,#147214
#E0DFE4,#38373C,#8A888D
#FFC293,#FFFFFF,#4D1D51
#FFFFFF,#555577,#0E1667
#000000,#626B56,#FAF8FB
#464243,#FFFFFF,#5D1C20
#FCFCFC,#2B1A3C,#D62249
#2F7372,#0D201C,#FEFEFE
#F06449,#F0FAEF,#030303
#1D1D27,#1C4094,#6B6B6B
#F2E3D0,#1D0F0C,#5B5B5B
#C2E8FD,#263137,#828B8F
#FFFFFF,#A8AED2,#10116E
#2F3640,#FFFFFF,#8A8A8B
#F21A05,#4E0500,#000100
#E5ECF6,#404763,#FF5B4F
#F1F1F1,#2879FE,#000000
#ABE6F8,#F5ABAC,#71819A
#1F1513,#726143,#FFFFFF
#1B212F,#C9CCD5,#2072D5
#000000,#FB9A39,#FBFBFB
#000000,#FEFEFE,#545454
#17123A,#BCC8C6,#8E726E
#FFFFFF,#0B3366,#7A8BAB
#FF7F00,#FFFFFF,#552F1C
#484B54,#FFFFFF,#95453E
#F2E8E7,#4E252B,#9F726D
#59382F,#F2F2F2,#B79589
#141D48,#FFE1EB,#706E8E
#333945,#FFFFFF,#956784
#FFFFFF,#EF523F,#72829B
#CFD1DD,#474747,#EF3125
#151515,#EF4234,#525C66
#FFFFFF,#012F46,#9C9C9C
#FFFFFF,#115AF7,#919191
#FFFFFF,#6665FF,#A6A6B0
#F1F1FB,#0014FF,#333333
#E0E0E0,#7F7F7F,#323232
#000000,#D1C3C2,#58443B
#030303,#B7B3B2,#200635
#000000,#FEF4F3,#5D5A5A
#191A1F,#FFFFFF,#A092A3
#000000,#011E48,#016597
#F8F9FE,#050507,#A62E2F
#E8E8E8,#1A1A1A,#FFB400
#000000,#0B093A,#3757E6
#060000,#ECECEC,#943924
#DFE2EB,#818181,#0554CD
#FAFBFD,#8427FE,#000000
#171310,#FFFFFF,#969696
#FEFEFE,#010101,#B3AF72
#000000,#FFFFFF,#8A8A8A
#1D1E23,#ECEDF1,#0F8EEB
#FFFFFF,#89C74A,#32B87B
#EFF6FF,#FDDC59,#1473F5
#FFFFFF,#121212,#CBC6FE
#070707,#545454,#9F1F14
#F7D6CF,#EE7C57,#000000
#FBFBFB,#0F0F0F,#A1A1A1
#FFFFFF,#17111D,#9B8D8C
#F0B0CB,#29BCEF,#201B15
#0F0F0F,#565656,#F0F0F0
#1D1E22,#E8E8E8,#7A7C7B
#373743,#FEFEFE,#9D9DA9
#040000,#FFFFFF,#595959
#231F1E,#686C5E,#ECA27F
#DCE0E9,#340829,#858585
#1D1D1D,#FFFFFF,#01B0EF
#181818,#EEEEEE,#6E6949
#E3E3E3,#000000,#5D5D5D
#343434,#CACBC6,#E6B21E
#F5E8D7,#E47B44,#325C48
#F5FAFE,#000000,#707378
#1DE3FD,#D0F3F9,#0967A5
#EFEFEF,#262D59,#6F738C
#FFFFFF,#161A35,#70122A
#2F3035,#FFB900,#7DB0C3
#363636,#D7D7D7,#975E6F
#F2F2F2,#1D1C22,#7E7D80
#040B27,#2290E5,#558599
#212025,#7B818D,#F4F5FA
#FFD83B,#20209A,#FFFFFF
#FFFFFF,#646464,#000000
#C2EAF4,#070827,#476796
#C9C9C9,#282828,#2E8831
#121212,#6DCED7,#58575D
#EEE5FA,#170829,#9587A1
#041C3E,#787C97,#6DA365
#D8DBFC,#554E55,#D85064
#FFFFFF,#030F39,#8387A2
#F5F5F5,#272B36,#F9D05C
#191919,#FF392C,#013E1D
#CF919E,#030037,#16338F
#020202,#FFFFFF,#909696
#1D1D27,#5443B3,#FFFFFF
#000000,#575757,#CECECE
#0F102F,#5E382B,#81487F
#26272B,#717276,#FDFEFF
#17161B,#725841,#DEB390
#E8EFF7,#3594C0,#3F589A
#191A1E,#858C94,#FAFBFD
#FFB5CE,#FFFFFF,#A4A5A7
#404E7D,#DBC7E2,#992371
#030102,#910504,#5A454A
#1B212F,#CFD2DB,#728081
#C3C7D2,#520F16,#686C87
#C2C2C2,#070707,#5D5D5D
#EA4049,#373737,#FFFFFF
#888B90,#3C3C3C,#FFFFFF
#F3B055,#FFFFFF,#9A0E0D
#F0F2F1,#292929,#747474
#FFFFFF,#50C2FF,#1F0005
#C1E9AB,#FFFFFF,#F3B4C7
#7E7DE3,#FFFFFF,#9896BE
#000000,#FFFFFF,#FFAF00
#B4C7D6,#1E2832,#59738B
#000000,#B5B1B2,#555555
#00CDEC,#1D242C,#D5D5D9
#F2F3F7,#000000,#959698
#F0F0F2,#083747,#592824
#FFFFFF,#434343,#809DA1
#FFC801,#EE2708,#060407
#372964,#FFFFFF,#1C1C1C
#000000,#F0F0F0,#5C5C5C
#BEA27B,#BDA221,#51719A
#FFFFFF,#000000,#7D7D7D
#000000,#926464,#690F0F
#12121C,#5A5B60,#FFFFFF
#FFFFFF,#394657,#98A6A7
#F0F0F0,#080808,#CA0000
#404042,#FDFDFD,#989898
#0D0D0D,#FEFEFE,#F02818
#220F11,#FFFFFF,#632B14
#FFFFFF,#314A44,#F4B691
#070B17,#9B634C,#494C6D
#3C2E25,#E9DCBA,#95806D
#FFFFFF,#FBB996,#00E2EE
#EDDDCE,#355562,#1A0D17
#FFF8E8,#1A1A1A,#978E7A
#1F1F1F,#BDBDBD,#726650
#F8F9FB,#000000,#565656
#FFFFFF,#6DCFC2,#A2A2A2
#000000,#595F5B,#FFFFFF
#FFFFFF,#2B3043,#8DAEA3
#24201F,#676C70,#FFFFFF
#EBDEF0,#010302,#6336C7
#FFFFFF,#027FFD,#000000
#FFFFFF,#1A1917,#878787
#D5D5D5,#171717,#6C6C6C
#E2EAFF,#2D4084,#050706
#E8E5DE,#000000,#6F706A
#171717,#FFFFFF,#040033
#FFFFFF,#81C3E3,#9FE2C3
#FFFFFF,#232323,#FB6808
#151515,#6D6D6D,#D64C5C
#F1F1F1,#FABD2F,#3C3B41
#14141E,#5C5C66,#6072D6
#FFFFFF,#FF9774,#252C36
#191A1F,#B5B6BA,#478EC4
#606060,#000000,#FFFFFF
#FFFFFF,#8844EF,#59443F
#FFFFFF,#5845C3,#333333
#1E1E1E,#EEEEEE,#969696
#FFFFFF,#E34C55,#8E9293
#5A618D,#0C1737,#52413A
#152235,#636363,#F4F5F9
#F5F5F5,#020106,#727274
#EFF0F2,#000000,#5A7C97
#E9E9E9,#0B0B0B,#5E5E5C
#FFF8FF,#4C3B97,#692058
#007457,#163120,#411816
#001228,#005E78,#FAFDFC
#101010,#FFFFFF,#787878
#F3F3F3,#353966,#8989F9
#FFFFFF,#191919,#350F40
#262626,#BFC1C0,#325380
#A01A3F,#252525,#F6F6F4
#464759,#F3837F,#FFFFFF
#141414,#EA2050,#FFFFFF
#FCFCFC,#000000,#8B8B89
#FFFFFF,#3F3F3F,#999DA9
#FEC200,#18191E,#FFFFFF
#FFFFFF,#353535,#868686
#FFFFFF,#2E123A,#72CCD5
#7D93AB,#FFFFFF,#020107
#212121,#E5E1DE,#6A6A6A
#FCFCFC,#090D16,#818181
#191C2F,#26659B,#5F5F5F
#B8B8D4,#121856,#0F72CF
#010101,#840018,#575654
#FFFFFF,#77BEEC,#DDA8A2
#8ADAFF,#FDFFFE,#FFA9C4
#181818,#FFFFFF,#E9A624
#F4F4F4,#560000,#333A42
#E4ECFF,#131635,#435BB1
#8A599A,#FFFFFF,#000000
#FFFFFF,#333333,#2A97F4
#F91069,#000000,#FFFFFF
#FFFFFF,#000000,#898989
#000000,#072750,#FFFFFF
#FFFFFF,#000000,#A0A0A0
#616161,#000000,#FEFEFE
#0E0C00,#4B1902,#3A5550
#202020,#69686D,#C0C2C1
#F7FFFF,#45A039,#0B0F18
#CBCBC9,#382922,#8A090E
#FFFFFF,#000000,#C32C7B
#FF4148,#E8E8E8,#090913
#8D8C8A,#202020,#B5B369
#95ADED,#FFFFFF,#212121
#000000,#4F4416,#C6AB3A
#000000,#858585,#FFFFFF
#000000,#AEC141,#F3F3F5
#FFFFFF,#0EADEE,#131418
#000000,#581C04,#CD9860
#EF4F4F,#FFFFFF,#617188
#C94131,#121212,#93A6AA
#FFFFFF,#8E7A71,#090D16
#000000,#FFFFFF,#4C4C4C
#12143A,#FCFCFC,#31322D
#000000,#920202,#480204
#E6E6E6,#000000,#B63427
#FFFFFF,#010101,#023E86
#FFFFFF,#1E48C1,#2F2F2F
#F5DDDD,#8E7777,#311842
#191919,#C49E91,#616161
#0087B4,#001749,#D5D5E1
#161616,#FFC52B,#FFFFFF
#F3F4F8,#01032A,#00176F
#212025,#E0E0E0,#6B6B6B
#080808,#C59F5E,#8599A2
#FFD88B,#000000,#FFFFFF
#FFFFFF,#000000,#585858
#FEFEFE,#000000,#D81A1A
#F9F9F9,#656668,#192A48
#7689AA,#1D1D27,#D7DDEB
#F6F7F2,#011015,#008FD1
#13171A,#818892,#FFFFFF
#1D1D1D,#6C6C6C,#D4BB83
#2E2D4F,#79889B,#825828
#FFFFFF,#FCBE71,#F57D40
#F5F9FA,#9C9895,#000000
#131116,#FFFFFF,#546575
#24211C,#FFFFFF,#DB4335
#FFFFFF,#0D141C,#A5A5A7
#7F201A,#0A0905,#5B5A58
#FFFFFF,#000000,#FFCC25
#FFFCF7,#FFCE5D,#7B6637
#192730,#7A7363,#FFFFFF
#C6C8D5,#000E17,#09577E
#59398C,#1F2147,#ABBECF
#FBFCFF,#E1C8FF,#774FFD
#FFFFFF,#72C0CD,#000000
#1D1D27,#DFE0FF,#3A3A9E
#FFFFFF,#6993FF,#66BAFA
#FFFFFF,#121212,#849ACC
#DFE1ED,#9F8272,#4A3836
#94AAF5,#000000,#FFFFFF
#F7F7F7,#FFD50D,#000000
#FFFFFF,#181818,#DF4F66
#85A3D9,#D0EAEB,#1B3280
#FFFFFF,#0E0D12,#E2A8A7
#000000,#FFFFFF,#878787
#E7CDB6,#000000,#5B1810
#FCF3EA,#1D1D41,#FFC65B
#16171C,#FFFFFF,#6C6D6F
#F1EBEB,#979394,#454545
#000105,#3F4B59,#FFFFFF
#222222,#EAEAEA,#E09985
#1D1D1D,#656565,#BCBEBD
#EEE55A,#272729,#948DAF
#F1F6F9,#01ABFF,#61A600
#040000,#453918,#A8883D
#272727,#43A4AB,#C7C7C7
#81BCCA,#F8F8F8,#131418
#223555,#2E7EC3,#F7FFFF
#979485,#F7F7F7,#152121
#262626,#910E16,#707070
#0F0F0F,#575757,#E8FF01
#FFFFFF,#FF4610,#E5044A
#FAD2DD,#491313,#C38A76
#CAD2E5,#1E3CE8,#03060B
#EAEBF0,#272F42,#7B7F8C
#F6F7FB,#A4C7FD,#000100
#020202,#E9E9E9,#D4180D
#E8E5DE,#000000,#6F706A
#16141F,#5D5D5D,#E9E7E8
#E6E6E6,#040B13,#3435AB
#1E1E1E,#8D2F23,#818181
#1A143A,#F8104C,#FFFFFF
#EFF2FB,#1F1E24,#747780
#C1AFBF,#78525D,#D95A6F
#F3F7FF,#151922,#969FAE
#E9EEF1,#1A2225,#71797C
#000000,#B98958,#7E7E7C
#403D38,#BEC2C3,#957A5D
#0C083B,#FFFFFF,#000000
#9A0813,#302E2F,#E4DCCF
#191919,#CEE2D6,#737373
#000000,#EBEBEB,#686868
#4B3D95,#E4D3FF,#A26294
#F7DDC4,#AA7C65,#2A3E45
#F5F1EE,#CA9680,#141510
#1E2639,#DCEFF3,#7D363C
#27355A,#608ECC,#846A75
#000000,#707781,#FEFEFE
#2F54A4,#220A54,#FFF6F1
#121212,#41346A,#646371
#FFFFFF,#A471F4,#CABEEC
#151C26,#676A6F,#FFFFFF
#F6F7FB,#000205,#888888
#E7E7E7,#041010,#848484
#079BFF,#202126,#DAEAF9
#35434E,#C5CFC7,#FF4649
#693D4E,#868686,#FFFFFF
#E6E6F0,#1A1929,#452EB4
#121011,#A74903,#5D2109
#242831,#8941D1,#D0D4DF
#161616,#FF493B,#FFFFFF
#303A6B,#91A3E5,#FFFFFF
#FFFFFF,#E93E2C,#151515
#1D193E,#4B2826,#9995BA
#393D3C,#9EA09F,#92653B
#000000,#13699A,#FFFFFF
#1C1A28,#FFFFFF,#A4A4A4
#E2E0D4,#3F224E,#C66C49
#FFFFFF,#1F2A60,#6A82C0
#FECE02,#FFFFFF,#000000
#2D3750,#F1F9EE,#A07D5F
#FFFFFF,#7B4344,#D06553
#FFFFFF,#96ACFF,#000000
#2981A9,#8E6381,#000000
#37465D,#70CDD5,#FDB678
#FFFFFF,#415264,#90C08E
